Mes 1,,,Fecha de inicio 14/4/2026,"PROGRESIÓN SEMANAL

Semana 1 → pesos sugeridos
Semana 2 → +2,5 a 5 kg en barra / +1–2 kg mancuernas
Semana 3 → mantener peso pero llegar a RPE 8 última serie
Semana 4 → volver a subir peso",,,,,,,,,,,,
Full Body,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Calentamiento ,"Jumping Jacks
Sentadilla sin peso
Movilidad de cadera
Movilidad de tobillo",5-8 min ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. Peso muerto con barra,"25–30 kg x 12-15 reps 
25–30 kg x 12-15 reps 
25–30 kg x 12-15 reps 

RPE: 6–7",Descanso de 60-90 seg entre series,,https://www.youtube.com/watch?v=0XL4cZR2Ink,,,,,,,,,,,,
2. Sentadilla goblet con mancuerna,"10-15 kg x 12-15 reps
10-15 kg x 12-15 reps
10-15 kg x 12-15 reps

RPE: 7–8",Descanso de 60-90 seg entre series,,https://www.youtube.com/shorts/ohgaarm26-c,,,,,,,,,,,,
Descanso,,Descanso de 90 seg a 2 min maximo,,,,,,,,,,,,,,
3. Press pecho en el suelo con mancuernas (Floor Press),"8-10kg por mancuerna x 12-15 reps 
8-10kg por mancuerna x 12-15 reps 
8-10kg por mancuerna x 12-15 reps 

RPE:  6-7
PRIORIZAR TECNICA!!","
Descanso de 90 seg",,https://www.youtube.com/shorts/UBmpZ7l5Nlk,,,,,,,,,,,,
Descanso,,Descanso de 90 seg a 2 min maximo,,,,,,,,,,,,,,
4. Remo con mancuernas apoyado en pierna (unilateral),"8–10 kg x 12-15 reps por brazo
8–10 kg x 12-15 reps por brazo
8–10 kg x 12-15 reps por brazo

RPE: 7",Descanso de 90seg entre series,,https://www.youtube.com/shorts/ge0lRNxSMNk,,,,APOYATE EN EL SILLON,,,,,,,,
Descanso,,Descanso de 90 seg a 2 min maximo,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5. Elevaciones laterales ,"3–4 kg por mancuerna x 15-18 reps 
3–4 kg por mancuerna x 15-18 reps
3–4 kg por mancuerna x 15-18 reps

RPE: 7-8
",Descanso de 60seg entre series,,https://www.youtube.com/shorts/zEANAIh1l9g,,,,"Si con 4 kg llegas fácil a 15 reps → la semana 3–4 puedes probar 5 kg
(El video sirve para hacerlo de pie tambien) ",,,,,,,,
Descanso,,Descanso de 90 seg a 2 min maximo,,,,,,,,,,,,,,
6. Mountain climbers,"20 reps por pierna
20 reps por pierna
20 reps por pierna

Modificable dependiendo de tu resistencia



",Descanso de 60 seg entre series,,https://www.youtube.com/shorts/tQkpdUWK8KU,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Descanso,,Descanso de 90 seg a 2 min maximo,,,,,,,,,,,,,,
7- Plancha frontal codos apoyados, Aguantar lo maximo posible x 4 ,"El descanso será el doble de tiempo del tiempo de ejercicio, ej( Si aguantas 15segundos, descansas 30segundos entre series, y asi...)",,https://www.youtube.com/shorts/3AM7L2k7BEw,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Descanso,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8- Elongaciones,Estiramientos / movilidad articular de piernas !,45seg/1m por musculo a estirar ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Duracion total de entrenamiento aprox 45min - 1hr,,,,,,,,,,,,,,,,
